Time,Centralized_gospa,Centralized_localization,Centralized_miss_truth,Centralized_false_tracks,Distributed_gospa,Distributed_localization,Distributed_miss_truth,Distributed_false_tracks,HandoverMeas_gospa,HandoverMeas_localization,HandoverMeas_miss_truth,HandoverMeas_false_tracks,HandoverNoMeas_gospa,HandoverNoMeas_localization,HandoverNoMeas_miss_truth,HandoverNoMeas_false_tracks,AvgTargets
20,0.6290026708218198,0.6290026708218198,0.0,0.0,0.6261373102369657,0.6261373102369657,0.0,0.0,2.753987122172836,1.33977355979974,1.4142135623730951,0.0,0.6288236830911348,0.6288236830911348,0.0,0.0,1.0
21,0.6333504995506631,0.6333504995506631,0.0,0.0,0.6319267762701009,0.6319267762701009,0.0,0.0,4.83099314337075,1.2954592374380116,3.5355339059327378,0.0,0.6321566137268971,0.6321566137268971,0.0,0.0,1.0
22,0.6741407984963559,0.6741407984963559,0.0,0.0,1.375999692018608,0.6762742660829175,0.0,0.7071067811865476,3.39864910565265,1.2773287620930076,2.121320343559643,0.0,1.3740930857150755,0.6742876261291313,0.0,0.7071067811865476,1.01
23,0.629260412970447,0.629260412970447,0.0,0.0,0.6289908969550484,0.6289908969550484,0.0,0.0,4.7342808800523155,1.2264159140747706,2.121320343559643,1.4142135623730951,0.6253754996103796,0.6253754996103796,0.0,0.0,1.01
24,0.6313008358704469,0.6313008358704469,0.0,0.0,0.6318338209693858,0.6318338209693858,0.0,0.0,4.014569958894205,1.1861428341480151,2.8284271247461903,0.0,0.6309157852327969,0.6309157852327969,0.0,0.0,1.02
25,0.6561165882505869,0.6561165882505869,0.0,0.0,0.6559730742994563,0.6559730742994563,0.0,0.0,4.067626256750016,1.2391991320038251,2.8284271247461903,0.0,0.6540175587923326,0.6540175587923326,0.0,0.0,1.07
26,1.2923594168962738,0.5947053520328995,0.0,0.7071067811865476,0.604739762468016,0.604739762468016,0.0,0.0,5.392025024315009,1.154150135593368,3.5355339059327378,0.7071067811865476,0.6063696863989371,0.6063696863989371,0.0,0.0,1.13
27,0.6216662309928295,0.6216662309928295,0.0,0.0,0.641442844246931,0.641442844246931,0.0,0.0,6.024082165915303,1.0743346976094739,4.949747468305833,0.0,0.643526220323923,0.643526220323923,0.0,0.0,1.26
28,0.6799529217743056,0.6799529217743056,0.0,0.0,0.6733403732378972,0.6733403732378972,0.0,0.0,3.3083517457746128,1.1959841014545483,1.4142135623730951,0.7071067811865476,1.3778205426683727,0.6766059113627674,0.0,0.7071067811865476,1.4
29,0.5986478789478133,0.5986478789478133,0.0,0.0,0.6651869181798873,0.6651869181798873,0.0,0.0,6.7853152039503835,1.1360249929121995,4.949747468305833,0.7071067811865476,0.6648961588500445,0.6648961588500445,0.0,0.0,1.45
30,0.5765667745994502,0.5765667745994502,0.0,0.0,0.6395994370378283,0.6395994370378283,0.0,0.0,6.769667168163144,1.128352347393916,4.242640687119286,1.4142135623730951,0.6385005055337479,0.6385005055337479,0.0,0.0,1.62
31,0.6111752487641643,0.6111752487641643,0.0,0.0,0.6914216462825135,0.6914216462825135,0.0,0.0,6.801223133092678,1.1443688836003003,5.656854249492381,0.0,0.6905341322143356,0.6905341322143356,0.0,0.0,1.8
32,1.995844026976883,0.5911381501841892,0.0,1.4142135623730951,3.478752826051665,0.6745062913174813,2.121320343559643,0.7071067811865476,8.857905625152423,1.1037821202320948,7.778174593052023,0.0,1.3801931594029446,0.6778026792081815,0.0,0.7071067811865476,1.89
33,3.054926982218315,0.6546784145794569,0.7071067811865476,1.7071067811865475,18.938947650588233,0.7061955889970253,16.2634559672906,2.121320343559643,14.54031790420453,1.148259199075616,13.435028842544407,0.0,3.561934976139845,0.7600597590027458,1.4142135623730951,1.4142135623730951,1.96
34,2.0754420157410234,0.6680237420520644,0.7071067811865476,0.7071067811865476,24.52881301428456,0.7130111399635534,23.33452377915609,0.7071067811865476,14.661989441638648,1.2993967050307405,13.435028842544407,0.0,3.6523627241617476,0.8428398304578124,2.121320343559643,0.7071067811865476,2.0
35,3.5195300319001297,0.7229089736623087,0.7071067811865476,2.121320343559643,19.134188010115043,0.921971878889573,17.6776695296637,0.7071067811865476,9.286447294822272,1.546548397212952,7.0710678118654755,0.7071067811865476,5.1226847517856156,0.9324434878796061,2.121320343559643,2.121320343559643,2.0
36,3.5629240581336212,0.755564436578831,1.4142135623730951,1.4142135623730951,26.98580097298976,1.0850168776949076,25.455844122715735,0.7071067811865476,15.926525326780732,1.6882318797520486,14.435028842544407,0.0,6.632725076735886,1.0345347525307904,4.242640687119286,1.4142135623730951,2.0
37,2.98168645717498,0.8867773326794322,0.7071067811865476,1.4142135623730951,32.70128396612759,1.2248839554857462,31.81980515339467,0.0,17.881181019321705,1.981056600549792,16.14213562373096,0.0,2.628321132207304,1.222437290734478,1.4142135623730951,0.0,2.0
38,2.3048139673826147,0.9006831968228041,1.4142135623730951,0.0,27.291003556066666,1.4323897906957155,26.162950903902285,0.0,16.333765842069262,2.179781377086308,14.435028842544407,0.0,3.4173973918635,1.318669661437866,2.121320343559643,0.0,2.0
39,1.61011253918255,0.9062525280425275,0.0,0.7071067811865476,12.057823303415073,1.5725438718092988,9.899494936611665,0.7071067811865476,12.342000669325682,2.370862853890279,9.485281374238571,0.7071067811865476,1.3021290828180923,1.3021290828180923,0.0,0.0,2.0
40,0.933412993391036,0.933412993391036,0.0,0.0,5.09557118591883,1.6062230653622234,2.8284271247461903,0.7071067811865476,16.351992019565852,2.237892696598261,14.313708498984761,0.0,1.3541111138571233,1.3541111138571233,0.0,0.0,2.0
41,0.9999087009201655,0.9999087009201655,0.0,0.0,2.3768612237769045,1.680896997691109,0.0,0.7071067811865476,20.883553886346828,2.1956963794145357,16.97056274847715,2.121320343559643,1.464841734635167,1.464841734635167,0.0,0.0,2.0
42,1.6910901197778292,0.9924438655170285,0.0,0.7071067811865476,2.9115854670478623,1.5358368528132107,0.0,1.4142135623730951,14.850216437036817,2.386246537852785,12.727922061357859,0.0,2.096347498045172,1.3959561894432233,0.0,0.7071067811865476,2.0
43,0.9649072866430919,0.9649072866430919,0.0,0.0,1.4479904458238935,1.4479904458238935,0.0,0.0,16.45497718754806,2.2756851628047867,13.727922061357859,0.7071067811865476,1.3784711664810294,1.3784711664810294,0.0,0.0,2.0
44,2.363390955408975,0.9691172729056821,0.0,1.4142135623730951,1.3825174926480273,1.3825174926480273,0.0,0.0,17.44406082232565,2.3682176156776604,14.727922061357862,0.7071067811865476,1.3255144384534123,1.3255144384534123,0.0,0.0,2.0
45,0.9636199849845611,0.9636199849845611,0.0,0.0,1.9846114124994563,1.2901893079380067,0.0,0.7071067811865476,17.361121969218,2.5871682050735427,13.727922061357859,1.4142135623730951,1.9656504337181797,1.2715490459455852,0.0,0.7071067811865476,2.0
46,1.7248027416685363,1.0232147355576957,0.0,0.7071067811865476,2.059739421633747,1.3603104351239406,0.0,0.7071067811865476,18.249105504042067,2.413340902348888,16.142135623730955,0.0,2.034614049973424,1.335187451169036,0.0,0.7071067811865476,2.0
47,1.6999405468445647,1.002703268374518,0.0,0.7071067811865476,2.0780740645673355,1.3842565904294515,0.0,0.7071067811865476,21.412348192008658,2.330961620111525,18.6776695296637,0.7071067811865476,2.060842230917571,1.3687308330914378,0.0,0.7071067811865476,2.0
48,2.4575080686064865,1.0557886149968676,0.0,1.4142135623730951,2.108857685294492,1.4111190354197214,0.0,0.7071067811865476,21.37658702886474,2.4045854740279404,17.97056274847715,1.4142135623730951,2.0946422216611382,1.3974314328179205,0.0,0.7071067811865476,2.0
49,1.7342400077722326,1.0327681213510642,0.0,0.7071067811865476,2.0395363618864066,1.3501305242402923,0.0,0.7071067811865476,18.042912211248584,2.446472807973834,15.849242404917504,0.0,2.038334216535161,1.3486683762462996,0.0,0.7071067811865476,2.0
50,1.155849111727845,1.155849111727845,0.0,0.0,2.0107714283342606,1.3231779536638877,0.0,0.7071067811865476,22.991579594551368,2.1554984093359377,20.506096654409895,0.7071067811865476,1.3193724466975332,1.3193724466975332,0.0,0.0,2.0
51,1.7673410793056277,1.075101669198694,0.0,0.7071067811865476,2.0652499107518016,1.3835977901708159,0.0,0.7071067811865476,30.083877577013222,2.1563052541822274,27.748737341529186,0.7071067811865476,2.060054434135483,1.3807632945996569,0.0,0.7071067811865476,2.0
52,1.7743106496422676,1.081094507825285,0.0,0.7071067811865476,2.0816016683376137,1.40444916196389,0.0,0.7071067811865476,32.500697011916145,2.1615329625176862,28.87005768508883,2.121320343559643,2.0762907742306442,1.3991858265679076,0.0,0.7071067811865476,2.0
53,1.0048085927845813,1.0048085927845813,0.0,0.0,1.360509426041317,1.360509426041317,0.0,0.0,27.99169747665537,2.1531821566652045,26.33452377915609,0.0,1.3632883779101226,1.3632883779101226,0.0,0.0,2.0
54,0.9764542595490004,0.9764542595490004,0.0,0.0,1.3692498368606925,1.3692498368606925,0.0,0.0,27.375110095373103,2.1276670354788916,25.041630560342636,0.7071067811865476,1.368158476464239,1.368158476464239,0.0,0.0,2.0
55,0.999556285677403,0.999556285677403,0.0,0.0,1.3620414666725447,1.3620414666725447,0.0,0.0,25.13777752073422,2.2877785782178894,22.62741699796954,0.7071067811865476,1.3728061537395297,1.3728061537395297,0.0,0.0,2.0
56,0.977798372709692,0.977798372709692,0.0,0.0,1.316941894531246,1.316941894531246,0.0,0.0,28.16491992221342,2.2436097197527456,25.041630560342636,1.4142135623730951,1.3235467253890616,1.3235467253890616,0.0,0.0,2.0
57,1.0049620980353915,1.0049620980353915,0.0,0.0,1.2734864866596984,1.2734864866596984,0.0,0.0,26.973991675587364,2.1774109393801235,23.92031021678299,1.4142135623730951,1.2804550227593177,1.2804550227593177,0.0,0.0,2.0
58,0.9924615630954601,0.9924615630954601,0.0,0.0,1.271919803997799,1.271919803997799,0.0,0.0,31.427917065865195,2.4622028918044117,28.87005768508883,0.7071067811865476,1.276527284123158,1.276527284123158,0.0,0.0,2.0
59,0.978835607800664,0.978835607800664,0.0,0.0,1.3508826146906352,1.3508826146906352,0.0,0.0,32.54668395852882,2.512235862284771,30.698484809835026,0.0,1.3482456387239623,1.3482456387239623,0.0,0.0,2.0
60,0.9813463031916875,0.9813463031916875,0.0,0.0,1.3505526592606352,1.3505526592606352,0.0,0.0,33.090000902455785,2.0334624876762586,31.698484809835026,0.0,1.346636238448308,1.346636238448308,0.0,0.0,2.0
